Date (UTC),User ID,Username,User,IP address,Status,Sign-in error code,Failure reason,Client app,User agent,Authentication Protocol,Authentication requirement,Multifactor authentication result,Multifactor authentication auth method,Multifactor authentication auth detail,Application,Resource,Location,Autonomous system  number,Conditional Access,Unique token identifier,Request ID,Correlation ID,Session ID
3/16/2026 11:11,e09aedcd-14f9-473a-ac7b-644253efa526,evelyn.rogers,evelyn.rogers@spacecoastcybertech.com,24.165.225.195,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Microsoft Teams,Microsoft Teams,"Cocoa, Florida, US",AS7922,success,71452ac7-fd43-49d2-a16d-7e0cc2d4cc59,1a95b1cc-7c75-46cb-a85f-6b277a41c0f7,e536ec86-ce89-4a6e-8bdc-9ab27341f7e8,d4ea17d6-95a7-4768-bdbe-5c57c264e299
3/16/2026 11:23,1af718e2-57a4-4b3e-a429-80a492d45c9a,isabella.foster,isabella.foster@spacecoastcybertech.com,24.165.94.159,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Microsoft Teams,Microsoft Teams,"Melbourne, Florida, US",AS7922,success,3e2baa66-56fb-42a5-8430-fb5519d17469,4fa037cd-5cf8-44b1-8e00-84194c8ceb88,9cc55720-e5ab-4ffa-8f26-3e1d55bb079d,d83cedd4-7594-4ad4-9db4-d641c521ca25
3/16/2026 11:31,cc93ab24-0dfb-44c2-9938-8dcf90391910,harper.murphy,harper.murphy@spacecoastcybertech.com,24.165.219.250,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Microsoft Teams,Microsoft Teams,"Cocoa, Florida, US",AS7922,success,1abb561c-1385-4526-8fa8-072259811759,812fb4ed-5f8e-4f71-be64-3cc10811fa4b,2afd4df3-c148-44cc-8642-1deab128b84b,76a038f7-df38-4ac0-b262-dc16a20ddd75
3/16/2026 11:33,57c17e07-228a-4f7d-8a96-dfe79e992b5c,gabriel.barnes,gabriel.barnes@spacecoastcybertech.com,24.165.210.155,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,SharePoint Online,SharePoint Online,"Orlando, Florida, US",AS701,success,3aebee3c-a9b9-4a79-97a3-2d069d7926d6,e39f16ad-0c90-4241-be20-d2cc8965676c,f99851fa-1d7c-447b-a2cc-f5592c162103,b26b6c34-39fb-4aca-bad7-d5d0be526207
3/16/2026 11:37,e4b65ead-d0a0-478d-a5e2-394f02532f25,liam.mitchell,liam.mitchell@spacecoastcybertech.com,24.165.9.188,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Jacksonville, Florida, US",AS7018,success,d6c45927-aebd-4593-b544-a21e6e03d8f3,6c5489da-6592-4f1e-ab31-43e00a9aa400,d0c3eb5d-9f78-4756-8b0c-4943f485c728,37b76ba8-68ca-418c-a43d-2be2befa5cae
3/16/2026 11:59,45010dc8-0022-40b3-907a-3c034d2c157e,noah.bennett,noah.bennett@spacecoastcybertech.com,24.165.132.50,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,SharePoint Online,SharePoint Online,"Orlando, Florida, US",AS701,success,0a4d232e-06fb-4519-8cd6-9e66760e4889,1c11990a-9b39-4bce-8bc8-854ca268982f,f11aaa6d-c1dc-4182-ba16-c99d9aca8bbb,134f6541-7830-42b6-8924-0611a84053f9
3/16/2026 11:59,7a122d8e-c2e5-4274-928d-e8bd13d27a78,sophia.reed,sophia.reed@spacecoastcybertech.com,24.165.28.6,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Microsoft Teams,Microsoft Teams,"Cocoa, Florida, US",AS7922,success,6392d416-4a35-47a7-a7c7-b6c12c179e4d,55bdf13c-b298-480c-90c4-1079bc5fcb94,16760f71-02a5-4272-a55e-4f9b9566312b,ec92267a-d34c-4ac1-a50a-59f3ca430e15
3/16/2026 12:00,d6e25e2f-983f-47a2-a1a8-8a9f57b4b42f,zoe.butler,zoe.butler@spacecoastcybertech.com,24.165.175.28,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Melbourne, Florida, US",AS7922,success,0a63c271-f4ba-4322-8b3a-c8d2f9c4eb86,b29e70b4-e61a-423f-b03c-003680016bc1,713bf533-9504-4e98-b549-8ca9e8d1216c,ce857126-3389-49db-85d5-0f2e58516c2e
3/16/2026 12:43,d27039df-f1c8-4934-88d7-7bf757a033a4,michael.rivera,michael.rivera@spacecoastcybertech.com,24.165.255.188,Success,,,Browser,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,SharePoint Online,SharePoint Online,"Melbourne, Florida, US",AS7922,success,cfa5bc63-3911-480e-afab-8e7c8446744e,2c0ec7de-3d4c-482b-b54f-474ff540d98f,2c63a2de-aa5b-495a-a692-ffcec8a1c3dc,da313e4e-09cc-4d2b-b215-1b274f2b2972
3/16/2026 12:52,d6e25e2f-983f-47a2-a1a8-8a9f57b4b42f,zoe.butler,zoe.butler@spacecoastcybertech.com,24.165.128.19,Success,,,Mobile Apps and Desktop clients,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) Mobile/15E148,OAuth2,multifactorAuthentication,satisfied,SMS,,Microsoft Teams,Microsoft Teams,"Melbourne, Florida, US",AS7922,success,2e42ac29-684c-45fa-8172-0f0bc4ef4f4a,360687d0-02a9-4fa9-93eb-4981d664bee4,adc02233-94f2-43f2-b99c-8e4de5565c9c,c761b27b-e3f7-47f9-80b1-cd027f047b5a
3/16/2026 12:55,7a122d8e-c2e5-4274-928d-e8bd13d27a78,sophia.reed,sophia.reed@spacecoastcybertech.com,24.165.27.55,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,SharePoint Online,SharePoint Online,"Cocoa, Florida, US",AS7922,success,7ae36e40-9dbd-44a2-8ac1-dd363e895d38,e656653d-9258-4c87-b344-c26db76b3738,0e0e0af7-57f1-4f05-bbac-396a7fb1fa2f,af716d48-1b56-4914-9bb1-15de191a49f3
3/16/2026 12:55,7a122d8e-c2e5-4274-928d-e8bd13d27a78,sophia.reed,sophia.reed@spacecoastcybertech.com,24.165.72.107,Failure,50053,Invalid username or password,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,notApplied,,,SharePoint Online,SharePoint Online,"Cocoa, Florida, US",AS7922,notApplied,727a8899-2bdd-4b38-9995-cccf50b1a0c7,9b151160-d24d-446a-b73f-a8bb1e34be4d,3744536d-2d8d-4318-914d-a3dc869db358,363cd0b9-1c3a-4f28-b9e8-ff99d83a3495
3/16/2026 12:59,0b491121-8024-48db-baab-880d1c86f801,mia.watson,mia.watson@spacecoastcybertech.com,24.165.100.37,Success,,,Browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/123.0,OAuth2,multifactorAuthentication,satisfied,Microsoft Authenticator App,,Office 365,Office 365,"Melbourne, Florida, US",AS7922,success,11f30289-3845-49b5-9804-08ee331a3f2f,ae9a1b14-9186-4271-852e-7cae5aefaf63,de965c72-b30b-42c8-9798-e7f3b0b8d1b2,6d76afe7-f2ba-4d04-b2e2-5d00c1a1e809
